address lat lon tier
上海市凉城三小 31.302707712605457 121.47465154552522 tierC 
上海市疁城实验学校 31.384968905468767 121.25026695625711 tierC 
上海市闸北区第三中心小学 31.271381854401763 121.49233298270867 tierB 
上海市园南小学 31.14798142818358 121.44750906488014 tierB 
上海市朱行小学 30.854433452090735 121.34099868734252 tierB 
上海市复旦五浦汇实验学校 31.149697673458757 121.08593238355056 tierB 
上海市静安小学 31.240538871893847 121.43775903653594 tierC 
上海市堡镇小学 31.5370489326034 121.6235529600787 tierB 
上海市金教院附属小学 31.235929042252014 121.48053886017651 tierC 
上海市民办打一外国语小学 31.28251444123197 121.52249924953088 tierB 
上海市东方小学 31.129912320774164 121.5185668273304 tierC 
上海市法华镇路三小 31.210093392619804 121.4348374236275 tierC 
